Key,Heidesleutel,,,,,,
Titel,Veldsleutel voor Heide,,,,,,
Versie,versie2_20230731,,,,,,
Auteurs,xxyy,,,,,,
STEP,TYPE,NAME,NEXT_STEP,CLASSIFICATION,BWK_CODE,SUBKEY,REMARK
,I,"Indien één van volgende soorten aanwezig: wijdbloeiende rus, naaldwaterbies, geel cypergras, glaskroos, eivormige waterbies, draadgentiaan, dwergbloem, koprus, priemkruid of dwergrus: controleer ook met de watersleutel voor HT 3130_na.",,,,,
,A,Aandeel aan uitheemse invasieve planten in de vegetatie ≥ 50% :,,gh,ku°,,
,I,"Uitheemse (zeer) invasieve planten: aardpeer, Afghaanse duizendknoop, alsemambrosia, beklierde basterdwederik, bezemkruiskruid, bleek cypergras, Canadese en late guldenroede, Japanse/Boheemse/Sachalinse duizendknoop, kokardebloem, Nieuwnederlandse aster, reuzenbalsemien, reuzenberenklauw, rimpelroos, schijnaardbei, smalle aster, slipbladige rudbeckia, struikaster, teunisbloem spec., (valse) wingerd, vaste lupine, vlakke dwergmispel, vlinderstruik, wilgaster, zwart tandzaad.",,,,,Gebaseerd op het ISEIA-protocol (Branquart 2017)
,A,Anders,,gh,ku,,
,,,,,,,
,,,,,,,
,,,,N2000 habitattype,BWK code,,Opmerking
80,T1,heide met wilde gagel (kroonprojectie ≥ 50% gagel),,,,,
80,Q,,,,,,
80,A,Gemiddelde hoogte van de gagelstruiken ≥ 1m boven maaiveld,81,,,,
80,A,Gemiddelde hoogte van de gagelstruiken < 1m boven maaiveld,82,,,,
81,Q,,,,,,
81,A,Boomlaag (≥ 6 m) < 10% bedekkend,,rbbsm,sm,,
81,A,"Boomlaag (≥ 6 m) ≥ 10%, maar < 50% bedekkend",,rbbsm,smb,,
81,A,Boomlaag (≥ 6 m) ≥ 50% bedekkend,SLEUTEL,,,BOSSEN_STRUWELEN,
82,Q,,,,,,
82,A,Boomlaag (≥ 6 m) ≥ 50% bedekkend,SLEUTEL,,,BOSSEN_STRUWELEN,
82,A,Anders,83,,,,
83,Q,,,,,,
83,A,"Typische soorten van natte heide (gewone dophei, veenpluis, beenbreek, zonnedauw, witte snavelbies, klokjesgentiaan of veenbies) minstens abundant in de ondergroei",,4010,ce+myr,,gagelrijke natte heide
83,A,"Typische soorten van natte heide (gewone dophei, veenpluis, beenbreek, zonnedauw, witte snavelbies, klokjesgentiaan of veenbies) hooguit frequent in de ondergroei",,4010,cm+myr,,gagelrijke natte heide
83,A,"Venige natte heide met abundant bultvormende veenmossen (S. papillosum, S. magellanicum, S. rubellum) en/of aanwezigheid van kleine veenbes, lavendelhei of eenarig wollegras",,7140_oli,ces+myr,,gagelrijk overgangsveen
